job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url
Data Strategy Senior Manager – Data Services,Commonwealth of Massachusetts,81000,126000,,,,1,,https://www.linkedin.com/jobs/view/3707222348/
IT Senior Business Analyst,New York City Housing Development Corporation,110000,120000,,1,,,,https://www.linkedin.com/jobs/view/3691496645/
Management and Program Analyst,U.S. Department of Commerce,,,,1,,,,https://www.linkedin.com/jobs/view/3706701353/
Management and Program Analyst,Department of Education,132368,172075,,1,,,,https://www.usajobs.gov/job/745085800
Data Scientist,Department of Commerce,78592,122459,,,1,,,https://www.usajobs.gov/job/7456315000
"Data Strategy Senior Manager, Data Services",Massachusetts Executive Office of Health and Human Services,,,,,,1,,https://www.linkedin.com/jobs/view/3708007602/
Manager of Performance Data and Technology,MBTA,77000,102000,,,,1,,https://www.linkedin.com/jobs/view/3706898745/
"POLICY ADVISOR, DATA MANAGEMENT & ANALYSIS",HRA DEPT OF SOCIAL SERVICES,75504,83901,,1,,,,https://cityjobs.nyc.gov/job/policy-advisor-data-management-and-analysis-in-manhattan-jid-12068
Director of Planning and Research,South Carolina Department of Children's Advocacy,54974,101712,1,,,,,https://www.governmentjobs.com/jobs/newprint/4178606
SENIOR DATA SCIENTIST,County of Los Angeles,115637,155836,,,1,,,https://www.governmentjobs.com/careers/lacounty/jobs/newprint/4146330
"Manager, Report Development",Los Angeles Homeless Services Authority (LAHSA),84558,122610,,,,1,,https://www.governmentjobs.com/careers/lahsa/jobs/newprint/4181397
Statistician,Department of the Treasury,69107,158432,,1,,,,https://www.usajobs.gov/job/745958000
Director of Research and Evaluation,City of Philadephia,77400,101000,1,,,,,https://www.smartrecruiters.com/CityofPhiladelphia/743999934785221-director-of-research-and-evaluation
ORU Research and Data Manager,City of Philadephia,70000,80000,,,,1,,https://jobs.smartrecruiters.com/CityofPhiladelphia/743999935468945-oru-research-and-data-managerr
Information Technology Specialist,National Gallery of Art,112000,173000,,1,,,,https://www.linkedin.com/jobs/view/3734606942/?refId=4Cb7%2BdE2TrmHpFvVrMoBGA%3D%3D&trackingId=4Cb7%2BdE2TrmHpFvVrMoBGA%3D%3D
I&T DATA SERVICES ANALYST,City of Charlotte,78814,93500,,1,,,,https://www.jobapscloud.com/oec/Charlotte/Jobs/Bulletin?R1=2310&R2=371100&R3=01
Program Reporting and Transparency Manager,State of Colorado,100620,134400,,,,1,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4232513
CCCAP Research and Data Analyst,State of Colorado,68100,88524,,1,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4221282
IT Specialist (Data Management),Federal Aviation Administration,88791,137651,,1,,,,https://www.usajobs.gov/job/752666400?share
Business Analyst III - Lottery,State of Colorado,56028,72840,,1,,,,https://www.governmentjobs.com/jobs/newprint/4210357
Business Intelligence (BI) Developer II,Hennepin County,74269,109947,,1,,,,https://www.governmentjobs.com/jobs/newprint/4197729
Data Scientist,Federal Deposit Insurance Corporation,170779,250000,,,1,,,https://www.usajobs.gov/job/750495100
Director of Data Analytics,NYC Administration for Children's Services,82000,104000,1,,,,,https://www.linkedin.com/jobs/view/3727187663/
Project Manager Analytics Specialist II,City of Detroit,59102,79323,,1,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4184182
Data Scientist,Department of Labor,53105,102166,,,1,,,https://www.usajobs.gov/job/728781500
ANALYTICS ENGINEER,City of San Francisco,139542,175552,,,,,1,https://jobs.smartrecruiters.com/CityAndCountyOfSanFrancisco1/3743990000892596-analytics-engineer-housing-team-1043-
Data Engineer,The Seattle Public Library,113399,137891,,,,,1,https://www.governmentjobs.com/careers/seattle/jobs/newprint/3967919
"Manager, Enterprise Applications",State of Colorado,95000,115000,,,,1,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4062748
Director of Digital Services,City of Syracuse,80000,85000,1,,,,,http://www.innovatesyracuse.com/director-of-digital-services
Director of Performance & Data Analytics,City of Stockton,129814,165664,1,,,,,https://www.bobmurrayassoc.com/search-summary?broc_id=5957
Management and Program Analyst,National Highway Traffic Safety Administration,69107,128043,,1,,,,https://www.usajobs.gov/job/747175800
Supervisor Data Analyst,City of Minneapolis,81862,104432,,1,,,,https://www.governmentjobs.com/careers/minneapolismn/jobs/newprint/4187296
"Director, Strategy & Research",ADMIN FOR CHILDREN'S SVCS,103026,133630,1,,,,,https://cityjobs.nyc.gov/job/director-strategy-and-research-in-manhattan-jid-148511
"Director, Technology Ideation",ADMIN FOR CHILDREN'S SVCS,75000,160000,1,,,,,https://cityjobs.nyc.gov/job/director-technology-ideation-in-manhattan-jid-15263
Business Analyst,City of Detroit,99000,150000,,1,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4219768
Data Analyst,City of Detroit,99000,115000,,1,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4219784
Data Scientist,Bureau of Labor Statistics,112015,145617,,,1,,,https://www.usajobs.gov/job/751540800
Business Analyst,HOUSING PRESERVATION & DVLPMNT,93288,107281,,1,,,,https://cityjobs.nyc.gov/job/business-analyst-in-nyc-all-boros-jid-9502
"Manager, System Administration",State of Colorado,99000,126000,,,,1,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4215526
Co-Director of Data and Policy,New Jersey Office of Innovation,100000,100000,1,,,,,https://innovation.nj.gov/join/co-director-data-and-policy/
"Director, Research, Analytics & Evaluation (IDEA)",City of Philadephia,95000,110000,1,,,,,https://www.smartrecruiters.com/CityofPhiladelphia/743999930550374-director-research-analytics-evaluation-idea--
Business Intelligence Report Developer and Support Analyst,State of Connecticut,105606,131567,,1,,,,https://www.jobapscloud.com/CT/sup/bulpreview.asp?b=&R1=230907&R2=7604FR&R3=001
Management and Program Analyst,Department of the Treasury,98458,183307,,1,,,,https://www.usajobs.gov/job/748745800
