,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
34,"Senior Data Analytics and Reporting Data Engineer, Digital Platform Solutions",NYC Mayor's Office of Contract Services,,,,,,,1.0,https://www.linkedin.com/jobs/view/3499345155/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer
35,Senior Data Engineer,Metro Transit Authority,82411.0,108165.0,,,,,1.0,https://careers.mta.org/jobs/12548538-senior-data-engineer,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,Data Engineer
36,Data Engineering Specialist,Metro Transit Authority,75484.0,99073.0,,,,,1.0,https://careers.mta.org/jobs/12548536-data-engineering-specialist,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,Data Engineer
37,Bloomberg Data Engineer,City of San Francisco,132574.0,166790.0,,,,,1.0,https://jobs.smartrecruiters.com/CityAndCountyOfSanFrancisco1/3743990000449256-bloomberg-data-engineer-datasf-1043-,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,Data Engineer
38,Data Scientist,Internal Revenue Service,111521.0,176300.0,,,1.0,,,https://www.usajobs.gov/job/690711800?utm_source=civictechjobs1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Data Scientist
39,"Senior Manager, Data Science",Metro Transit Authority,83981.0,110225.0,,,,1.0,,https://careers.mta.org/jobs/12392577-sr-manager-data-science,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
40,Data Analyst,Office of Personnel Management,98496.0,158432.0,,1.0,,,,https://www.usajobs.gov/job/721954200,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Data Analyst
41,Technical Manager,City of New York,130000.0,150000.0,,,,1.0,,https://buildwithnyc.github.io/technicalmanager.html?utm_source=civictechjobs1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Manager
42,DTI Team Director,Delaware Department of Technology and Information,99749.0,110000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3593263357/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
43,Data Engineer,NYC Planning,85000.0,100000.0,,,,,1.0,https://medium.com/nyc-planning-digital/were-hiring-data-engineer-nyc-planning-ef95a3490e0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Data Engineer
